"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"/home/eden/ProjectsRepo/my_ros/.cargo/config.toml", "TOML", 0, 0, 0, 1, 1
"/home/eden/ProjectsRepo/my_ros/Cargo.lock", "TOML", 135, 0, 0, 18, 153
"/home/eden/ProjectsRepo/my_ros/Cargo.toml", "TOML", 13, 0, 0, 3, 16
"/home/eden/ProjectsRepo/my_ros/rustfmt.toml", "TOML", 1, 0, 0, 1, 2
"/home/eden/ProjectsRepo/my_ros/src/allocator.rs", "Rust", 0, 90, 12, 19, 121
"/home/eden/ProjectsRepo/my_ros/src/allocator/bump.rs", "Rust", 0, 48, 21, 9, 78
"/home/eden/ProjectsRepo/my_ros/src/allocator/fixed_size_block.rs", "Rust", 0, 72, 20, 10, 102
"/home/eden/ProjectsRepo/my_ros/src/allocator/linked_list.rs", "Rust", 0, 105, 44, 20, 169
"/home/eden/ProjectsRepo/my_ros/src/demo/concurrency.rs", "Rust", 0, 38, 0, 3, 41
"/home/eden/ProjectsRepo/my_ros/src/demo/heap_allocation.rs", "Rust", 0, 21, 0, 4, 25
"/home/eden/ProjectsRepo/my_ros/src/demo/memory.rs", "Rust", 0, 33, 6, 6, 45
"/home/eden/ProjectsRepo/my_ros/src/demo/mod.rs", "Rust", 0, 13, -2, 2, 13
"/home/eden/ProjectsRepo/my_ros/src/demo/println_eprintln.rs", "Rust", 0, 6, 0, 2, 8
"/home/eden/ProjectsRepo/my_ros/src/gdt.rs", "Rust", 0, -1, 0, 0, -1
"/home/eden/ProjectsRepo/my_ros/src/interrupts.rs", "Rust", 0, 22, 10, 8, 40
"/home/eden/ProjectsRepo/my_ros/src/lib.rs", "Rust", 0, 23, 2, 2, 27
"/home/eden/ProjectsRepo/my_ros/src/main.rs", "Rust", 0, 7, 0, 1, 8
"/home/eden/ProjectsRepo/my_ros/src/memory.rs", "Rust", 0, 94, 31, 22, 147
"/home/eden/ProjectsRepo/my_ros/src/serial.rs", "Rust", 0, -1, 0, 0, -1
"/home/eden/ProjectsRepo/my_ros/src/task/executor.rs", "Rust", 0, 97, 5, 16, 118
"/home/eden/ProjectsRepo/my_ros/src/task/keyboard.rs", "Rust", 0, 83, 4, 12, 99
"/home/eden/ProjectsRepo/my_ros/src/task/mod.rs", "Rust", 0, 51, 0, 13, 64
"/home/eden/ProjectsRepo/my_ros/src/task/simple_executor.rs", "Rust", 0, 44, 0, 8, 52
"/home/eden/ProjectsRepo/my_ros/src/vga_buffer.rs", "Rust", 0, 65, 13, 12, 90
"/home/eden/ProjectsRepo/my_ros/tests/basic_boot.rs", "Rust", 0, -15, 0, -4, -19
"/home/eden/ProjectsRepo/my_ros/tests/heap_allocation.rs", "Rust", 0, 62, 1, 11, 74
"/home/eden/ProjectsRepo/my_ros/tests/should_panic.rs", "Rust", 0, 2, 0, 1, 3
"/home/eden/ProjectsRepo/my_ros/tests/stack_overflow.rs", "Rust", 0, 2, 0, 1, 3
"Total", "-", 149, 961, 167, 201, 1478